url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/adam-ruins-everything\/season-1\/episode-15\/adam-ruins-weddings,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-16\/the-hack-super-villain,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/greatest-ever\/season-2\/episode-7\/greatest-fans-ever,WatchAction,en,US,2020-03-09T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-11\/card-against-humanity,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-3\/hacks-to-set-the-mood,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/hack-my-life-inside-hacks\/season-1\/episode-18\/hack-the-unexpected,WatchAction,en,US,2020-04-06T11:01:00+00:00,2020-05-01T07:59:06+00:00,TBS,TVE
\/shows\/friends-of-the-people\/season-1\/episode-17\/great-white-haters,WatchAction,en,US,2018-12-31T13:00:00+00:00,2020-05-01T11:00:00+00:00,TBS,TVE
\/shows\/greatest-ever\/season-2\/episode-3\/greatest-travelers-ever,WatchAction,en,US,2020-03-09T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-7\/episode-24\/hell-on-wheels,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-2\/episode-23\/enter-the-dragons,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-4\/episode-4\/wrong-playwright,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/at-home-with-amy-sedaris\/season-2\/episode-7\/hospital-tality,WatchAction,en,US,2019-09-16T11:00:00+00:00,2020-11-09T13:00:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-5\/episode-17\/water-torture,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/hack-my-life\/season-4\/episode-7\/the-key-to-hacks,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-2\/episode-15\/joker-vs-joker,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/trutv-top-funniest\/season-3\/episode-12\/silly-behavior,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/you-can-do-better\/season-1\/episode-2\/road-trips,WatchAction,en,US,2019-03-11T11:00:00+00:00,2020-06-15T11:00:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-3\/episode-10\/skappily-ever-after-explicit,WatchAction,en,US,2019-05-14T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-2\/episode-10\/adam-ruins-the-suburbs,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/jon-glaser-loves-gear\/season-1\/episode-1\/camping,WatchAction,en,US,2019-11-18T13:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/its-personal-with-amy-hoggart\/season-1\/episode-7\/shame,WatchAction,en,US,2020-04-16T06:00:00+00:00,2020-05-28T07:59:59+00:00,TBS,TVE
