bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,provider_original
tbs,1.0.0,US,05/08/2020,0,FREE,Full Frontal with Samantha Bee,5,4,"March 11, 2020",03/12/2020,05/13/2020,1267,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-4/march-11-2020,2061452,2197185,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,5,"March 25, 2020",03/26/2020,05/27/2020,1235,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-5/march-25-2020,2061452,2197186,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,6,"April 1, 2020",04/02/2020,06/03/2020,1267,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-6/april-1-2020,2061452,2197187,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,7,"April 8, 2020",04/09/2020,06/10/2020,1286,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-7/april-8-2020,2061452,2197188,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,8,"April 15, 2020",04/16/2020,06/17/2020,1277,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-8/april-15-2020,2061452,2197192,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,9,"April 22, 2020",04/23/2020,06/24/2020,1267,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-9/april-22-2020,2061452,2219375,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,10,"April 29, 2020",04/30/2020,07/01/2020,1267,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-10/april-29-2020,2061452,2197189,1
tbs,1.0.0,US,05/08/2020,0,TVE,Full Frontal with Samantha Bee,5,11,"May 6, 2020",05/07/2020,07/08/2020,1287,TV-MA,en,http://www.tbs.com/shows/full-frontal-with-samantha-bee,http://www.tbs.com/shows/full-frontal-with-samantha-bee/season-5/episode-11/may-6-2020,2061452,2197190,1
tbs,1.0.0,US,05/08/2020,0,TVE,The Detour,4,1,The Search,05/07/2020,05/14/2020,1316,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-1/the-search,2062570,2170478,1
tbs,1.0.0,US,05/08/2020,0,TVE,The Detour,4,2,The Return,05/07/2020,05/14/2020,1210,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-2/the-return,2062570,2170479,1
tbs,1.0.0,US,05/08/2020,0,TVE,The Detour,4,3,The Sister,05/07/2020,05/14/2020,1265,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-3/the-sister,2062570,2170480,1
tbs,1.0.0,US,05/08/2020,0,TVE,The Detour,4,4,The B.J.,05/07/2020,05/14/2020,1236,TV-MA,en,http://www.tbs.com/shows/the-detour,http://www.tbs.com/shows/the-detour/season-4/episode-4/the-bj,2062570,2170481,1
